氏名,ふりがな,住所,緯度,経度,年齢,性別,前職業界コード,生年月日,電話番号,通勤手段,希望通勤時間,予想事業所受取時給,予想支払時給,希望勤務時間
笹井 鮎子,ささい あゆこ,茨城県守谷市松前台4-2-7,35.00466,135.8684,70歳,女,C,1953-01-14,050-3936-6741,電車,180,1700,2700,8
竹中 一幸,たけなか かずゆき,神奈川県横浜市西区みなとみらい2-4-103,35.02198,135.75588,55歳,男,Q,1968-01-09,090-6568-5979,徒歩,120,1150,2100,7
松村 雄亮,まつむら ゆうすけ,東京都渋谷区神宮前1-5-15,34.68699,135.52751,100歳,男,O,1923-04-26,050-2328-8220,電車,150,2000,2200,4
酒井 俊行,さかい としゆき,神奈川県横浜市都筑区茅ケ崎東4-1-3ラジュール502,34.69134,135.18368,3歳,男,A,2019-12-27,070-5408-3271,徒歩,90,1200,2550,10
南田 伸夫,みなみだ のぶお,愛知県名古屋市中川区中島新町1-1-3パレ208,34.68589,135.83219,67歳,男,K,1956-03-14,090-0018-4293,自転車,50,1100,3000,6
平田 泰宏,ひらた やすひろ,東京都品川区東品川2-3-3アインス815,34.22671,135.16774,10歳,男,O,2012-11-08,090-3450-2390,自転車,140,1200,2050,3
平田 亮介,ひらた りょうすけ,兵庫県神戸市中央区山本通2-5-12セレッソコート514,35.50388,134.23849,2歳,男,L,2020-09-02,050-7190-9155,徒歩,40,1450,2700,2
市野 幸博,いちの ゆきひろ,岐阜県岐阜市黒野南2-2-5,35.47266,133.05047,87歳,男,H,1936-04-09,050-7534-1764,自転車,100,1700,2650,5
伊藤 康宏,いとう やすひろ,岐阜県瑞浪市一色町1-2-7,34.66169,133.93592,29歳,男,J,1993-10-06,050-8873-2820,徒歩,150,1750,2050,5
西村 弥生,にしむら やよい,大阪府大阪市中央区高麗橋4-3-8,34.39659,132.4599,79歳,女,L,1944-04-30,090-0917-5092,バス,20,1450,2950,2
稲川 郁夫,いながわ いくお,東京都足立区保木間2-1-11,34.18524,131.47116,61歳,男,T,1962-05-25,080-4560-5084,バス,100,1850,2600,6
村上 雅治,むらかみ まさはる,東京都江戸川区篠崎町2-3-9,34.06594,134.55984,80歳,男,F,1943-04-22,070-3219-5740,徒歩,170,1300,2200,6
江口 栄二,えぐち えいじ,大阪府八尾市中田1-3-6ファミリーコーポ811,34.34015,134.04384,35歳,男,Q,1987-10-22,070-1933-8544,徒歩,120,1600,2250,7
三澤 洋平,みさわ ようへい,東京都台東区浅草橋1-3-17ザ・パークハウス402,33.84188,132.76631,14歳,男,B,2008-11-11,090-5979-7921,電車,40,1150,2700,2
須山 直子,すやま なおこ,埼玉県八潮市緑町2-1-10グレーシィ709,33.55971,133.5312,16歳,女,E,2006-07-25,080-4497-3286,自転車,140,2000,2650,10
山本 健一,やまもと けんいち,奈良県奈良市学園大和町1-3-9,33.60665,130.41869,51歳,男,D,1972-05-29,050-5551-5613,自転車,150,1150,2550,3
川村 佳子,かわむら よしこ,福岡県北九州市戸畑区一枝4-2-10,33.24913,130.29835,28歳,女,O,1994-07-22,070-9118-7569,バス,150,1600,2100,3
寺尾 義明,てらお よしあき,愛知県小牧市中央2-3-1107,32.74439,129.87363,40歳,男,S,1982-12-25,090-3533-4763,電車,80,1550,2550,9
宮田 智,みやた とも,東京都千代田区外神田3-2-3,32.78945,130.74159,81歳,男,S,1942-01-10,050-8234-0544,自転車,130,1450,2650,3
北澤 佳史,きたざわ よしふみ,兵庫県神戸市垂水区狩口台1-3-9,33.2381,131.61262,71歳,男,K,1952-04-27,090-6868-6879,徒歩,130,1350,2500,4
小林 真,こばやし まこと,鳥取県米子市立町4-2-6,31.91198,131.4239,4歳,男,K,2019-02-07,050-8896-1305,電車,110,1300,2350,1
宇都宮 崇史,うつのみや たかし,東京都新宿区高田馬場2-1-6,31.56080,130.55839,6歳,男,P,2017-05-30,070-3095-5532,バス,10,1600,2400,3
並木 康之,なみき やすゆき,東京都中央区八丁堀3-4-18,26.21284,127.68191,98歳,男,I,1924-09-28,090-1628-2916,自転車,180,1450,2100,2
堤 香織,つつみ かおり,埼玉県入間市東町3-2-7コスモ506,34.97627,138.38366,55歳,女,C,1967-07-06,090-3118-4879,バス,120,1400,2950,4
北村 敦子,きたむら あつこ,鳥取県米子市西福原2-2-6プリメゾン711,35.18046,136.90681,23歳,女,D,2000-03-19,080-6373-2007,徒歩,30,1450,2200,5
中村 隆幸,なかむら たかゆき,兵庫県西宮市上甲子園3-2-701,34.73045,136.50849,71歳,男,M,1952-01-09,080-8738-8943,電車,160,1600,2700,5
川口 孝志,かわぐち たかし,東京都墨田区業平1-2-9サンマンション705,35.00447,135.86841,80歳,男,H,1942-11-25,080-0144-2651,電車,80,2000,2700,9
妹尾 悟,せのお さとる,東京都文京区大塚2-3-18,35.02112,135.75588,0歳,男,M,2023-05-19,080-7009-2661,バス,110,1200,2400,5
齋藤 聖子,さいとう せいこ,埼玉県志木市下宗岡1-4-11,34.6868,135.52796,67歳,女,R,1956-02-18,070-0347-1510,バス,70,1700,2050,2
大澤 あゆ美,おおさわ あゆみ,東京都杉並区和泉1-3-9,34.6912,135.18341,80歳,女,T,1942-10-31,070-4906-7208,徒歩,120,1400,2650,5
益子 剛,ましこ つよし,東京都足立区足立2-4-4エーベル415,34.68579,135.83277,57歳,男,P,1966-03-15,070-5944-5071,徒歩,140,1950,2600,4
下島 遼,しもじま りょう,神奈川県茅ヶ崎市東海岸北3-3-5,34.22663,135.16785,36歳,男,C,1986-08-24,080-5035-3711,自転車,150,1950,2700,8
里 正毅,さと まさき,東京都新宿区四谷2-2-22,35.50351,134.23855,34歳,男,O,1988-07-17,050-5302-6131,電車,70,1250,2900,5
森 優希,もり ゆき,福井県福井市御幸2-4-21レスタージュ715,35.47249,133.0508,18歳,男,R,2005-01-21,050-0414-2532,バス,180,1300,2450,6
入江 一也,いりえ かずや,大阪府大阪市天王寺区上汐3-3-14パークノヴァ514,34.66159,133.93566,47歳,男,P,1975-07-18,080-6493-0322,バス,140,1800,2900,2
冨岡 あけみ,とみおか あけみ,北海道小樽市奥沢3-5-708,34.39675,132.45974,21歳,女,N,2002-02-20,080-7573-4836,電車,100,1450,2800,1
有井 美夏,ありい みか,大阪府大阪市此花区西九条2-3-4,34.18561,131.47174,11歳,女,I,2011-12-19,080-9435-3368,電車,180,1050,2800,2
内田 雅史,うちだ まさし,大阪府大阪市中央区本町3-5-304,34.06568,134.55963,38歳,男,J,1985-04-22,050-0954-2886,徒歩,160,2000,2600,4
清水 悠子,しみず ゆうこ,福井県福井市西開発2-2-15,34.34030,134.04314,59歳,女,N,1963-08-15,080-6901-0185,自転車,90,1300,2700,6
川崎 博美,かわさき ひろみ,北海道札幌市南区南沢四条2-1-10,33.84112,132.76683,44歳,女,Q,1978-10-20,050-3394-4036,自転車,180,1950,2200,3
植山 ヒロミ,うえやま ひろみ,東京都西東京市芝久保町4-3-3,33.55992,133.53146,80歳,男,S,1943-03-10,050-2659-3102,バス,110,2000,2100,8
野中 紀明,のなか のりあき,宮城県仙台市太白区緑ケ丘2-1-404グランフェルティ814,33.60696,130.41888,28歳,男,B,1994-07-06,080-3319-3631,徒歩,140,1150,2750,2
笹川 渓,ささがわ けい,東京都昭島市朝日町1-1-1107ロイヤルシャトー506,33.24937,130.29835,97歳,女,C,1925-09-23,080-8815-3660,自転車,90,1150,2350,2
岡嶋 譲,おかじま ゆずる,千葉県市原市五井西3-2-6,32.74463,129.87325,40歳,男,O,1983-05-10,070-0808-6768,自転車,170,1650,2850,9
谷川 智哉,たにがわ ともや,愛知県蒲郡市三谷北通3-1-10,32.78975,130.74169,78歳,男,O,1945-01-24,070-1186-9785,自転車,20,1950,2250,3
小笠原 沙織,おがさわら さおり,宮城県柴田郡柴田町船岡東2-3-703レ・ジェイド804,33.23838,131.61242,61歳,女,J,1962-03-02,070-2657-2888,徒歩,60,1250,2150,8
池田 浩一,いけだ こういち,東京都府中市天神町3-3-5,31.91138,131.42362,8歳,男,R,2015-04-19,070-0580-9253,バス,130,1200,2450,6
千葉 正英,ちば まさ,福岡県宗像市自由ヶ丘2-2-3,31.56074,130.55867,3歳,男,A,2019-11-21,090-1171-8991,自転車,130,1050,2800,8
堤 ちひろ,つつみ ちひろ,埼玉県越谷市南越谷3-1-16,26.2121,127.68168,1歳,女,P,2022-05-02,080-1200-5271,バス,130,1800,2900,6
見上 拓人,みかみ たくと,千葉県習志野市津田沼4-1-8,34.9765,138.38389,73歳,男,P,1949-09-21,090-2540-2476,徒歩,110,1750,2200,1
小松 裕和,こまつ ひろかず,埼玉県さいたま市大宮区桜木町1-3-7,35.18039,136.90646,63歳,男,B,1960-05-20,070-3504-4257,自転車,120,1700,2300,1
竹本 智春,たけもと ちはる,沖縄県糸満市西崎町4-2-8,34.73037,136.50891,78歳,男,O,1944-07-06,070-3516-9388,電車,30,1950,3000,4
村松 賢一,むらまつ けんいち,広島県三原市宗郷1-5-21,35.00465,135.86812,27歳,男,A,1996-04-10,080-2120-6641,バス,180,1400,2100,10
進藤 修,しんどう おさむ,東京都荒川区町屋3-1-8,35.02136,135.75523,29歳,男,T,1994-02-27,080-2172-5929,徒歩,140,1800,2200,8
吉村 篤史,よしむら あつし,東京都新宿区西新宿1-5-9,34.6867,135.52799,31歳,男,I,1992-04-28,050-5121-4256,自転車,180,1200,2450,7
横山 裕子,よこやま ゆうこ,福井県福井市大宮1-5-502,34.69121,135.18326,95歳,その他・不明,M,1928-04-03,090-2144-8129,自転車,60,1800,3000,10
坂下 政雄,さかした まさお,埼玉県さいたま市浦和区岸町3-1-16,34.68518,135.83235,100歳,男,Q,1922-12-24,090-3257-1103,徒歩,10,1250,2950,9
垣内 優花,かきうち ゆうか,大阪府大阪市東住吉区湯里1-2-8,34.22693,135.16738,50歳,女,E,1972-08-02,050-7119-5422,バス,170,1900,2100,7
奥村 俊介,おくむら しゅんすけ,鳥取県米子市車尾1-1-7,35.50342,134.23840,51歳,男,R,1971-11-18,050-0583-5063,バス,80,1500,2600,8
古谷 仁史,ふるや ひとし,東京都葛飾区青戸3-1-10,35.47253,133.05073,97歳,男,J,1925-09-27,050-7453-7966,電車,20,1500,2100,9
浦野 大,うらの だい,埼玉県さいたま市南区内谷1-2-20,34.66117,133.93548,93歳,男,F,1929-06-29,070-5928-8657,バス,70,1350,2850,4
木下 忠弘,きのした ただひろ,東京都墨田区東向島3-2-21グリーンハイツ208,34.39649,132.45917,34歳,その他・不明,L,1988-07-15,070-1632-8800,電車,40,2000,3000,3
高橋 夏,たかはし なつ,神奈川県相模原市南区南台2-1-8,34.18562,131.47135,28歳,女,Q,1994-07-11,050-2055-8987,電車,100,1450,2700,2
伊藤 一真,いとう かずま,千葉県佐倉市ユーカリが丘2-1-6,34.06510,134.55929,86歳,男,J,1937-04-06,070-7323-6860,自転車,10,1950,2200,8
原 恭子,はら きょうこ,千葉県市川市南八幡2-4-3,34.34043,134.04323,51歳,女,T,1972-05-03,090-9687-9594,徒歩,40,1050,2700,10
古賀 薫子,こが かおるこ,北海道札幌市西区発寒六条3-3-19グランフェルティ807,33.84188,132.76698,11歳,女,Q,2011-12-22,080-9784-0692,電車,150,1950,2750,5
浦川 博之,うらかわ ひろゆき,北海道札幌市北区北十三条西1-5-903,33.55925,133.53119,75歳,男,C,1948-01-20,090-6986-9867,徒歩,10,1700,2850,6
岩丸 敏文,いわまる としふみ,東京都豊島区南池袋4-1-7アインス501,33.6064,130.41864,52歳,その他・不明,I,1970-08-26,090-6315-5942,徒歩,40,1900,2700,9
丸島 真大,まるしま まさひろ,大阪府大阪市北区西天満4-1-9,33.2495,130.29829,8歳,男,D,2014-09-24,080-6073-3652,徒歩,130,1250,2450,9
松本 彩,まつもと あや,東京都豊島区巣鴨3-4-8,32.74480,129.8735,9歳,その他・不明,F,2014-04-02,050-3349-5928,徒歩,70,1500,3000,10
菅原 史子,すがわら ふみこ,大阪府大阪市西区北堀江3-5-15,32.78950,130.74166,92歳,女,H,1931-05-26,090-8920-9090,電車,70,1900,2800,3
前川 一夫,まえかわ かずお,東京都港区港南1-5-18,33.23894,131.61298,82歳,その他・不明,P,1941-01-27,090-0917-8358,電車,70,1050,2400,2
田村 麻依子,たむら まいこ,埼玉県さいたま市大宮区桜木町4-2-3,31.91155,131.42316,80歳,女,D,1942-09-30,070-2728-1718,徒歩,120,1200,2800,5
荒井 敦,あらい あつし,東京都港区六本木3-1-14シャトード501,31.56023,130.5588,20歳,その他・不明,O,2003-01-19,050-5765-9773,電車,180,2000,2850,2
矢部 由美,やべ ゆみ,東京都昭島市昭和町1-1-8,26.21235,127.68189,36歳,女,T,1986-12-18,050-6706-2672,自転車,80,1050,2050,9
原 瑛子,はら えいこ,東京都港区高輪1-1-3,34.97685,138.38367,93歳,女,L,1929-08-23,090-7178-6614,自転車,70,1250,2950,1
武富 康博,たけとみ やすひろ,愛知県名古屋市東区三の丸1-2-22,35.18025,136.90696,16歳,男,E,2007-03-26,090-2836-9680,自転車,170,1050,2750,2
塩山 優介,しおやま ゆうすけ,神奈川県横浜市鶴見区鶴見中央3-1-7,34.73056,136.50830,95歳,男,R,1927-06-09,080-8836-8368,徒歩,60,1050,2250,10
岡田 竜,おかだ たつ,兵庫県神戸市中央区雲井通3-2-12,35.00437,135.86852,92歳,男,M,1930-11-19,070-9679-8799,徒歩,120,1300,2750,9
松井 史恵,まつい ふみえ,東京都港区虎ノ門1-3-107,35.02144,135.75596,13歳,女,D,2009-12-21,050-9668-8912,徒歩,10,1750,2750,6
朝田 友美,あさだ ゆみ,福岡県宗像市田久1-2-4,34.68616,135.52765,24歳,女,F,1998-12-28,070-4843-5904,自転車,50,1750,2050,1
堀口 京子,ほりぐち きょうこ,愛知県名古屋市中村区上石川町2-2-21セントラル102,34.69117,135.1834,75歳,女,P,1947-08-04,090-7907-3995,徒歩,20,1200,2450,10
田口 典子,たぐち のりこ,神奈川県足柄下郡湯河原町土肥2-3-5,34.68594,135.8323,94歳,女,L,1928-07-24,090-9832-3720,自転車,130,1900,2750,6
佐々木 聡子,ささき さとこ,東京都渋谷区恵比寿4-1-4グランドヒルズ411,34.22694,135.16711,71歳,女,Q,1951-07-05,090-5303-7327,電車,120,1400,2050,2
竹村 ユカリ,たけむら ゆかり,愛知県名古屋市中区栄1-3-10,35.50361,134.23896,39歳,女,S,1984-03-30,070-6735-6604,自転車,130,2000,3000,3
林 聡,はやし あきら,愛知県名古屋市北区上飯田北町2-1-8グランドヒルズ202,35.47216,133.05013,66歳,男,Q,1956-10-03,050-9244-2319,電車,30,1900,2750,3
飯村 藍,いいむら あい,千葉県千葉市緑区あすみが丘1-3-21,34.66191,133.93587,59歳,その他・不明,E,1963-08-02,050-4945-0435,自転車,140,2000,2650,1
大泉 優花,おおいずみ ゆうか,東京都港区南麻布3-1-5ゴールデングリタ109,34.39696,132.45974,91歳,女,A,1931-10-08,080-4213-9449,徒歩,10,1200,2550,2
杉山 広之,すぎやま ひろゆき,福岡県福岡市博多区博多駅前4-3-6,34.18567,131.471100,52歳,男,D,1971-05-21,050-1107-8053,バス,80,1450,2400,5
武田 紗彩,たけだ さあや,東京都文京区小日向2-1-6,34.06581,134.55979,15歳,女,O,2008-02-18,070-2903-3826,自転車,120,1650,2850,8
上野 亨,うえの とおる,大阪府大阪市中央区南船場2-2-3パレロワイヤル811,34.34027,134.04324,30歳,男,Q,1993-04-07,090-9996-7095,自転車,110,1750,2650,8
金井 修一,かない しゅういち,大阪府大阪市東淀川区豊新1-3-10,33.84120,132.76651,96歳,その他・不明,D,1926-06-24,090-7479-7023,自転車,20,1450,2350,10
不破 正樹,ふわ まさき,東京都東村山市多摩湖町3-3-9,33.55925,133.53182,90歳,男,F,1932-10-31,070-0189-4254,バス,50,1550,2400,4
出町 義之,でまち よしゆき,東京都港区新橋2-3-6,33.60631,130.41873,8歳,男,D,2015-03-04,090-9737-5663,徒歩,30,1900,2150,5
広瀬 正人,ひろせ まさと,福岡県福岡市中央区平尾1-3-10,33.24933,130.29898,76歳,男,M,1947-01-23,070-8392-8317,徒歩,80,1600,2850,9
佐々木 暁子,ささき あきこ,秋田県秋田市中通3-2-11,32.74496,129.87365,28歳,女,B,1995-02-13,050-9823-1931,徒歩,180,1900,2250,10
小林 礼美,こばやし ひろみ,東京都文京区千石2-1-6,32.78967,130.74163,50歳,女,H,1972-12-24,070-8291-2931,徒歩,120,1750,2050,10
高橋 瞳,たかはし ひとみ,新潟県上越市東本町1-3-6,33.23823,131.61267,55歳,女,E,1968-01-08,050-4656-0650,バス,170,1600,2550,1
大岡 義和,おおおか よしかず,東京都新宿区高田馬場2-4-14,31.9117,131.42314,91歳,その他・不明,L,1931-06-23,080-6659-3729,電車,10,1900,2700,8
植竹 大輝,うえたけ たいき,東京都荒川区東日暮里2-3-7,31.56088,130.55835,50歳,その他・不明,G,1972-10-28,080-1609-5410,自転車,170,1250,2050,2
中西 良史,なかにし よしふみ,東京都中央区築地1-3-8,26.21218,127.68187,51歳,男,T,1971-07-04,090-9393-9484,徒歩,30,1700,2600,5
平井 和子,ひらい かずこ,千葉県市川市中山3-4-22,43.06434,141.34660,48歳,女,N,1974-09-29,070-7661-8607,徒歩,100,1950,2600,9
阪本 富美子,さかもと ふみこ,大阪府守口市大久保町2-3-16,40.82461,140.74394,16歳,その他・不明,H,2007-05-26,050-8004-0106,バス,50,1700,2850,4
加地 昌弘,かじ まさひろ,兵庫県明石市朝霧南町3-3-3,39.70312,141.15234,8歳,男,D,2014-07-13,080-6060-6434,自転車,170,1750,2300,3
嶋根 知沙,しまね ちさ,東京都大田区蒲田3-3-10,38.26847,140.87176,88歳,女,N,1935-01-17,070-6393-7370,自転車,80,1250,2300,1
高杉 隆司,たかすぎ りゅうじ,熊本県熊本市東区東野2-4-20ローレルスクエア708,39.71823,140.10271,36歳,男,N,1986-10-24,090-4705-0740,電車,20,1700,2850,2
岡田 律子,おかだ りつこ,神奈川県川崎市宮前区東有馬1-3-18プラウドタワー116,38.24058,140.36319,94歳,女,M,1929-06-05,050-1389-7584,電車,140,2000,3000,8
天野 幸二,あまの こうじ,山梨県上野原市コモアしおつ2-1-504,37.75149,140.46769,76歳,男,O,1947-05-27,080-8987-8657,バス,20,1250,2400,2
中尾 貴之,なかお たかゆき,神奈川県相模原市南区相模大野1-4-13,36.3414,140.44679,68歳,男,D,1954-10-17,080-3862-2962,バス,20,1650,2300,6
堀本 正美,ほりもと まさみ,石川県金沢市松村3-1-5,36.56550,139.8836,42歳,男,J,1980-11-04,050-7510-4661,自転車,60,1750,2450,6
石原 千登勢,いしはら ちとせ,東京都八王子市元本郷町3-1-12,36.39112,139.06052,90歳,女,B,1932-10-29,080-1392-7011,自転車,110,1050,2950,5
西川 優子,にしかわ ゆうこ,群馬県前橋市朝倉町3-1-9,35.85638,139.64813,31歳,女,M,1992-05-15,080-1630-9519,電車,40,1450,2950,1
前原 耕太,まえはら こうた,岩手県盛岡市山岸2-3-1205エーベル208,35.60487,140.12347,7歳,男,J,2016-01-14,050-8035-1190,徒歩,90,1400,2150,7
高沼 たけし,たかぬま たけし,東京都渋谷区恵比寿4-3-8,35.6895,139.69164,14歳,男,K,2009-05-03,070-1762-9694,電車,140,2000,2600,6
久保 涼子,くぼ りょうこ,北海道札幌市西区二十四軒一条2-3-12,35.44754,139.64217,68歳,女,J,1955-04-10,050-2438-0614,徒歩,140,1800,2500,1
加藤 信幸,かとう のぶゆき,神奈川県横浜市泉区和泉中央南1-5-17,37.90237,139.0238,74歳,男,D,1948-12-31,090-9092-5627,電車,120,1400,2550,4
鈴木 宗大,すずき むねひろ,北海道札幌市中央区大通東3-1-6,36.6956,137.21140,38歳,男,F,1984-07-10,080-2118-4075,徒歩,140,1250,2250,9
藤沢 愛,ふじさわ あい,兵庫県神戸市長田区若松町2-1-4ルネグラン302,36.59464,136.62574,11歳,女,L,2011-07-11,080-6828-7728,バス,30,1300,2800,6
竹中 一彦,たけなか かずひこ,大阪府藤井寺市野中2-1-8,36.0654,136.22113,62歳,男,O,1960-07-07,080-9430-8133,徒歩,60,1250,2900,2
恩田 枝里子,おんだ えりこ,東京都渋谷区神宮前1-1-1007,35.66390,138.56872,1歳,女,P,2021-06-07,090-8807-2848,自転車,80,1150,2550,8
渡邉 玉枝,わたなべ たまえ,高知県高知市比島町2-3-10メロディーハイム410,36.65114,138.18177,94歳,女,I,1928-07-19,090-6090-5625,自転車,110,1150,2400,5
出田 和幸,いでた かずゆき,愛知県半田市平井町2-5-18,35.39138,136.72237,65歳,その他・不明,G,1957-12-25,090-2800-7260,バス,90,1650,2750,8
石橋 俊英,いしばし としひで,東京都豊島区長崎3-1-6,34.97610,138.38347,81歳,男,K,1942-01-24,090-7987-1085,バス,170,1150,3000,5
今井 里紗,いまい りさ,東京都足立区古千谷本町3-3-4,35.18039,136.90657,37歳,その他・不明,B,1986-03-21,090-8233-3082,徒歩,140,1250,2250,9
和田 淳,わだ じゅん,千葉県松戸市五香西2-2-3ワコーレ808,34.73061,136.50811,44歳,男,N,1979-02-18,090-7564-2775,徒歩,110,1700,2050,8
能登 悠里子,のと ゆりこ,広島県三原市宗郷1-5-21,35.00473,135.86846,58歳,女,H,1965-02-06,070-0124-2306,バス,100,1100,2400,7
塩谷 麻衣子,しおや まいこ,福岡県福岡市東区多の津3-4-1001,35.02167,135.75515,31歳,女,F,1992-02-29,080-8413-5430,徒歩,170,1950,2550,10
小野 勝敏,おの かつとし,山梨県富士吉田市中曽根3-1-6,34.68691,135.52720,21歳,その他・不明,S,2002-05-03,070-0597-2729,電車,20,1150,2050,9
後藤 夏紀,ごとう なつき,東京都千代田区麹町3-1-7グリーンエクセル807,34.69198,135.18326,53歳,女,I,1969-11-11,080-5808-2807,徒歩,150,1650,2150,2
田辺 一臣,たなべ かずおみ,北海道札幌市豊平区西岡二条4-3-3,34.68524,135.83269,59歳,男,J,1963-09-20,080-5283-7038,電車,30,1200,2700,4
三浦 尚吾,みうら しょうご,東京都杉並区永福3-2-10,34.22650,135.16732,93歳,男,R,1929-09-29,070-2654-9138,電車,140,1050,2650,6
町野 昌美,まちの まさみ,愛知県常滑市保示町2-5-9,35.50348,134.23871,81歳,女,L,1941-07-21,050-2796-5916,自転車,120,1300,3000,1
西條 聡子,さいじょう さとこ,東京都千代田区飯田橋3-3-22フローラ409,35.47286,133.05012,67歳,女,Q,1955-07-24,080-2256-7316,電車,130,1700,2700,5
佐藤 健太郎,さとう けんたろう,東京都港区港南3-2-10アーク805,34.66186,133.93581,22歳,男,Q,2000-06-12,080-4584-6413,バス,40,1200,2350,6
佐藤 信行,さとう のぶゆき,新潟県見附市本町1-2-15,34.39662,132.45999,65歳,男,E,1958-01-08,080-0775-4106,電車,160,1450,2750,7
杉本 有司,すぎもと ゆうじ,千葉県千葉市中央区祐光1-2-10,34.18589,131.47130,48歳,男,Q,1974-12-11,090-4640-5199,バス,160,1300,2250,8
岩崎 典正,いわさき のりまさ,静岡県焼津市八楠3-2-7,34.06592,134.55948,29歳,男,P,1994-04-21,070-2085-5737,自転車,150,1600,2600,8
工藤 圭子,くどう けいこ,北海道北斗市追分1-2-19,34.34074,134.04344,64歳,女,B,1958-10-04,070-6394-4467,徒歩,30,1800,2250,2
今野 友美,こんの ゆみ,大阪府大阪市西区新町2-4-18,33.84197,132.76654,73歳,女,I,1950-05-31,050-1126-5376,バス,80,2000,2950,3
豊崎 和貴,とよさき かずき,神奈川県川崎市川崎区浜町1-3-7パレ108,33.55986,133.53168,50歳,男,T,1972-11-05,070-5725-7883,バス,130,2000,2800,7
多賀 京子,たが きょうこ,東京都町田市小川2-4-19,33.60649,130.41817,95歳,女,P,1927-08-30,080-4164-9103,自転車,30,1750,2950,9
